earnings_date,EPS Estimate,Reported EPS,Surprise(%),ticker
2014-01-30,0.03,0.03,-0.2294,AMZN
2013-10-24,,,-0.0227,AMZN
2013-07-25,,,-1.3731,AMZN
2013-04-25,,0.01,1.3077,AMZN
2013-01-29,0.01,0.01,-0.2462,AMZN
2012-10-25,,-0.01,-1.9114,AMZN
2012-07-26,,0.01,5.5574,AMZN
2012-04-26,,0.01,2.9326,AMZN
2012-01-31,0.01,0.02,1.27,AMZN
2011-10-25,0.01,0.01,-0.4267,AMZN
2011-07-26,0.02,0.02,0.1728,AMZN
2011-04-26,0.03,0.02,-0.2732,AMZN
2011-01-27,0.04,0.05,0.0302999999999999,AMZN
2010-10-21,0.02,0.03,0.0728,AMZN
2010-07-22,0.03,0.02,-0.1645,AMZN
2010-04-22,0.03,0.03,0.0905,AMZN
2010-01-28,0.04,0.04,0.1796,AMZN
2009-10-22,0.02,0.02,0.3457,AMZN
2009-07-23,0.02,0.02,0.0217,AMZN
2009-04-23,0.02,0.02,0.326,AMZN
2009-01-29,0.02,0.03,0.332,AMZN
2008-10-22,0.01,0.01,0.0967,AMZN
2008-07-23,0.01,0.02,0.4209,AMZN
2008-04-23,0.02,0.02,0.0513,AMZN
2008-01-30,0.02,0.02,0.0067,AMZN
2007-10-23,0.01,0.01,0.0474,AMZN
2007-07-24,0.01,0.01,0.2041,AMZN
2007-04-24,0.01,0.01,0.6861,AMZN
2007-02-01,0.01,0.01,0.088,AMZN
2006-10-24,,,0.506,AMZN
2006-07-25,,,-0.2284,AMZN
2006-04-25,0.01,0.01,0.0239,AMZN
2006-02-02,0.01,0.02,1.2086,AMZN
2005-10-25,,,-0.2944,AMZN
2005-07-26,0.01,0.01,0.1385,AMZN
2005-04-26,0.01,0.01,-0.2091,AMZN
2005-02-02,0.02,0.02,-0.1219,AMZN
2004-10-21,0.01,0.01,-0.0428,AMZN
2004-07-22,0.01,0.01,-0.0506,AMZN
2004-04-22,0.01,0.01,0.1687,AMZN
2004-01-27,0.01,0.01,0.0021,AMZN
2003-10-21,,0.01,0.127,AMZN
2003-07-22,,0.01,0.6447,AMZN
2003-04-24,,0.01,1.3697,AMZN
2024-04-23,,,,GOOGL
2024-01-31,,,,GOOGL
2023-10-23,,,,GOOGL
2023-07-25,1.34,,,GOOGL
2023-04-25,1.07,1.17,0.0972,GOOGL
2023-02-02,1.18,1.05,-0.1073,GOOGL
2022-10-25,1.25,1.06,-0.1514,GOOGL
2022-07-26,1.28,1.21,-0.0541,GOOGL
2022-04-26,1.3,1.23,-0.05,GOOGL
2022-02-01,1.37,1.53,0.1224,GOOGL
2021-10-26,1.17,1.4,0.1921,GOOGL
2021-07-27,0.97,1.36,0.4094,GOOGL
2021-04-27,0.79,1.31,0.6618,GOOGL
2021-02-02,0.8,1.12,0.4025,GOOGL
2020-10-29,0.56,0.82,0.4527,GOOGL
2020-07-30,0.41,0.51,0.2342,GOOGL
2020-04-28,0.52,0.49,-0.0441,GOOGL
2020-02-03,0.63,0.77,0.2249,GOOGL
2019-10-28,0.62,0.54,-0.1329,GOOGL
2019-07-25,0.56,0.71,0.2578,GOOGL
2019-04-29,0.53,0.6,0.1211999999999999,GOOGL
2019-02-04,0.54,0.64,0.1805,GOOGL
2018-10-25,0.52,0.65,0.2532,GOOGL
2018-07-23,0.48,0.59,0.225,GOOGL
2018-04-23,0.46,0.5,0.0699,GOOGL
2018-02-01,0.5,0.49,-0.0279999999999999,GOOGL
2017-10-26,0.42,0.48,0.1491,GOOGL
2017-07-24,0.22,0.25,0.1167,GOOGL
2017-04-27,0.37,0.39,0.0458999999999999,GOOGL
2017-01-26,0.48,0.47,-0.0295,GOOGL
2016-10-27,0.43,0.45,0.0501999999999999,GOOGL
2016-07-28,0.4,0.42,0.0472,GOOGL
2016-04-21,0.4,0.38,-0.0587,GOOGL
2016-02-01,0.41,0.43,0.0698,GOOGL
2015-10-22,0.36,0.37,0.0201,GOOGL
2015-07-16,0.33,0.35,0.0437,GOOGL
2015-04-23,0.33,0.33,-0.004,GOOGL
2015-01-29,0.36,0.34,-0.0327999999999999,GOOGL
2014-10-16,0.33,0.32,-0.0274,GOOGL
2014-07-17,0.31,0.3,-0.0256,GOOGL
2014-04-16,0.32,0.31,-0.0213,GOOGL
2014-01-30,0.31,0.3,-0.0158,GOOGL
2013-10-17,0.26,0.27,0.0385,GOOGL
2013-07-18,0.27,0.24,-0.1128,GOOGL
2013-04-18,0.27,0.29,0.0865,GOOGL
2013-01-22,0.26,0.26,0.0159,GOOGL
2012-10-18,0.27,0.23,-0.1522,GOOGL
2012-07-19,0.25,0.25,0.008,GOOGL
2012-04-12,0.24,0.25,0.0441,GOOGL
2012-01-19,0.26,0.24,-0.0951999999999999,GOOGL
2011-10-13,0.22,0.24,0.1118,GOOGL
2011-07-14,0.2,0.22,0.1131,GOOGL
2011-04-14,0.2,0.2,-0.003,GOOGL
2011-01-20,0.2,0.22,0.0807,GOOGL
2010-10-14,0.17,0.19,0.1419,GOOGL
2010-07-15,0.16,0.16,-0.0104,GOOGL
2010-04-15,0.16,0.17,0.0249,GOOGL
2010-01-21,0.16,0.17,0.0479,GOOGL
2009-10-15,0.14,0.15,0.0866,GOOGL
2009-07-16,0.13,0.13,0.054,GOOGL
2009-04-16,0.12,0.13,0.047,GOOGL
2009-01-22,0.12,0.13,0.0295,GOOGL
2008-10-16,0.12,0.12,0.0359,GOOGL
2008-07-17,0.12,0.12,-0.0224,GOOGL
2008-04-17,0.11,0.12,0.0707,GOOGL
2008-01-31,0.11,0.11,-0.0033,GOOGL
2007-10-18,0.09,0.1,0.034,GOOGL
2007-07-19,0.09,0.09,-0.0092,GOOGL
2007-04-19,0.08,0.09,0.1121,GOOGL
2007-01-31,0.07,0.08,0.0898,GOOGL
2006-10-19,0.06,0.07,0.0812,GOOGL
2006-07-20,0.06,0.06,0.1241,GOOGL
2006-04-20,0.05,0.06,0.1549,GOOGL
2006-01-31,0.04,0.04,-0.1258,GOOGL
2005-10-20,0.03,0.04,0.1109,GOOGL
2005-07-21,0.03,0.03,0.1225,GOOGL
2005-04-21,0.02,0.03,0.4077,GOOGL
